frame,time_s,x_px,y_px,area_px,detected
0,0.000000,1083.63,464.97,4783.0,True
1,0.016632,1079.02,468.06,4459.0,True
2,0.033264,1078.75,468.78,4572.0,True
3,0.049896,1078.66,469.93,4536.5,True
4,0.066528,1078.92,470.00,4453.5,True
5,0.083160,1078.67,469.34,4611.5,True
6,0.099792,1079.20,468.14,4480.0,True
7,0.116424,1079.16,467.36,4667.5,True
8,0.133056,1079.89,466.47,4561.5,True
9,0.149688,1080.16,465.50,4653.5,True
10,0.166320,1080.72,464.42,4535.0,True
11,0.182952,1080.48,464.20,4558.0,True
12,0.199584,1080.13,463.99,4548.5,True
13,0.216216,1080.11,464.21,4534.0,True
14,0.232848,1078.88,464.56,4546.5,True
15,0.249480,1078.05,465.62,4554.0,True
16,0.266112,1078.73,466.32,4504.5,True
17,0.282744,1078.36,467.46,4649.5,True
18,0.299376,1078.87,468.28,4505.0,True
19,0.316008,1078.41,468.72,4573.5,True
20,0.332640,1078.83,468.74,4558.5,True
21,0.349272,1079.35,468.35,4494.0,True
22,0.365904,1079.17,467.28,4595.5,True
23,0.382536,1079.43,466.29,4477.0,True
24,0.399168,1079.02,465.25,4578.0,True
25,0.415800,1079.24,464.51,4506.5,True
26,0.432432,1079.15,463.96,4516.0,True
27,0.449064,1078.94,463.63,4477.5,True
28,0.465696,1078.90,463.84,4454.5,True
29,0.482328,1078.77,464.20,4480.5,True
30,0.498960,1078.84,464.76,4531.5,True
31,0.515592,1079.05,466.11,4511.5,True
32,0.532224,1079.19,466.56,4527.5,True
33,0.548856,1079.00,467.40,4510.0,True
34,0.565488,1079.36,467.93,4444.5,True
35,0.582120,1079.32,467.99,4418.0,True
36,0.598752,1079.27,467.98,4436.0,True
37,0.615384,1079.07,467.62,4511.0,True
38,0.632016,1079.16,466.60,4518.0,True
39,0.648648,1079.08,466.05,4425.0,True
40,0.665280,1079.28,464.59,4477.0,True
41,0.681912,1079.35,464.01,4417.0,True
42,0.698544,1079.18,463.93,4417.5,True
43,0.715176,1079.07,463.79,4457.0,True
44,0.731808,1079.98,464.00,4458.0,True
45,0.748440,1080.11,464.23,4434.5,True
46,0.765072,1080.20,465.08,4502.5,True
47,0.781704,1080.19,465.85,4405.5,True
48,0.798336,1080.07,466.12,4430.0,True
49,0.814968,1079.43,467.42,4482.0,True
50,0.831600,1079.18,468.08,4423.5,True
51,0.848232,1078.95,468.08,4435.0,True
52,0.864864,1840.81,35.44,12439.0,True
53,0.881496,1790.41,55.68,27492.5,True
54,0.898128,1755.31,73.13,42937.0,True
55,0.914760,1720.63,86.77,58830.0,True
56,0.931392,1689.47,101.15,69088.0,True
57,0.948024,1673.58,112.34,83320.0,True
58,0.964656,1676.91,119.37,107503.0,True
59,0.981288,1632.78,133.90,105174.0,True
60,0.997920,1636.65,138.59,137437.5,True
61,1.014552,1591.52,157.64,131110.5,True
62,1.031184,1571.26,167.00,143424.0,True
63,1.047816,1537.69,174.62,147886.5,True
64,1.064448,1508.55,180.07,153740.5,True
65,1.081080,1481.84,181.87,162338.0,True
66,1.097712,1446.35,184.50,159033.0,True
67,1.114345,1419.86,187.62,159434.5,True
68,1.130977,1395.39,192.13,157829.0,True
69,1.147609,1371.14,196.07,154709.0,True
70,1.164241,1348.07,201.87,149537.0,True
71,1.180873,1379.11,211.03,165048.0,True
72,1.197505,1319.24,206.63,149679.5,True
73,1.214137,1306.50,210.05,149030.5,True
74,1.230769,1292.68,213.56,139928.5,True
75,1.247401,1284.18,215.38,139697.0,True
76,1.264033,1276.51,216.10,139675.5,True
77,1.280665,1268.74,219.71,137654.5,True
78,1.297297,1269.57,220.72,151228.0,True
79,1.313929,1264.00,222.81,151619.0,True
80,1.330561,1258.41,223.78,151623.0,True
81,1.347193,1253.20,225.48,151530.5,True
82,1.363825,1252.96,226.95,154503.5,True
83,1.380457,1245.72,227.43,152807.0,True
84,1.397089,1234.24,214.32,182224.0,True
85,1.413721,1232.23,216.30,181303.5,True
86,1.430353,1237.42,219.37,186132.5,True
87,1.446985,1231.77,222.82,181806.0,True
88,1.463617,1226.40,223.11,179759.0,True
89,1.480249,1231.15,223.39,167227.0,True
90,1.496881,1223.44,226.74,169296.5,True
91,1.513513,1228.84,228.98,171888.0,True
92,1.530145,1226.96,228.91,178343.0,True
93,1.546777,1222.82,226.93,166928.5,True
94,1.563409,1225.85,228.64,167137.5,True
95,1.580041,1222.50,227.83,166204.0,True
96,1.596673,1221.77,228.51,165363.5,True
97,1.613305,1221.60,229.15,165872.5,True
98,1.629937,1220.29,229.20,164663.0,True
99,1.646569,1219.61,229.14,165189.5,True
100,1.663201,1294.41,235.80,181696.0,True
101,1.679833,1220.03,225.80,160362.0,True
102,1.696465,1221.84,226.77,161046.0,True
103,1.713097,1218.70,224.64,159456.5,True
104,1.729729,1212.39,224.13,156707.0,True
105,1.746361,1206.12,226.48,159260.5,True
106,1.762993,1212.45,229.09,171382.5,True
107,1.779625,1214.11,229.53,173358.0,True
108,1.796257,1216.11,227.48,168658.0,True
109,1.812889,1209.71,231.05,171327.5,True
110,1.829521,1278.53,238.71,193387.0,True
111,1.846153,1209.28,233.06,170534.0,True
112,1.862785,1210.30,234.29,171102.5,True
113,1.879417,1263.60,238.70,187367.0,True
114,1.896049,1206.43,228.35,163310.0,True
115,1.912681,1206.69,228.09,161812.5,True
116,1.929313,1200.52,224.43,150798.5,True
117,1.945945,1199.00,223.37,150524.0,True
118,1.962577,1197.67,222.47,149372.0,True
119,1.979209,1197.67,223.08,148354.0,True
120,1.995841,1261.19,231.57,175799.0,True
121,2.012473,1199.07,224.56,156430.5,True
122,2.029105,1197.76,224.12,155833.0,True
123,2.045737,1259.51,230.74,173717.5,True
124,2.062369,1259.39,230.89,173205.5,True
125,2.079001,1257.78,230.40,172265.0,True
126,2.095633,1255.95,231.00,172290.5,True
127,2.112265,1254.86,229.91,169542.5,True
128,2.128897,1254.17,230.06,168584.0,True
129,2.145529,1197.22,224.18,151932.5,True
130,2.162161,1258.24,230.57,169419.5,True
131,2.178793,1255.94,229.87,168874.0,True
132,2.195425,1195.25,222.84,151197.5,True
133,2.212057,1194.33,223.39,151071.5,True
134,2.228689,1191.83,220.55,152175.0,True
135,2.245321,1185.47,216.92,140692.5,True
136,2.261953,1188.22,220.74,138957.5,True
137,2.278585,1189.17,221.24,139106.5,True
138,2.295217,1190.36,222.86,139177.5,True
139,2.311849,1195.04,226.00,150718.5,True
140,2.328481,1258.93,232.26,169257.5,True
141,2.345113,1260.65,232.61,170179.5,True
142,2.361745,1258.04,231.28,158866.0,True
143,2.378377,1257.06,231.61,159982.5,True
144,2.395009,1257.39,231.71,160099.0,True
145,2.411641,1253.43,229.95,157301.5,True
146,2.428273,1257.19,232.39,167728.0,True
147,2.444905,1250.91,231.24,153777.0,True
148,2.461537,1251.67,234.17,165206.5,True
149,2.478169,1258.38,234.17,167892.0,True
150,2.494801,1254.21,234.06,168757.0,True
151,2.511433,1253.02,233.48,167839.0,True
152,2.528065,1255.01,233.78,167704.0,True
153,2.544697,1257.27,233.70,167299.0,True
154,2.561329,1253.01,240.15,170260.0,True
155,2.577961,1261.54,240.91,171885.5,True
156,2.594593,1263.79,242.23,172057.5,True
157,2.611225,1262.65,242.24,172192.0,True
158,2.627857,1258.96,238.68,174713.0,True
159,2.644489,1254.68,236.64,163387.0,True
160,2.661121,1197.36,233.47,146494.5,True
161,2.677753,1196.43,232.42,147437.0,True
162,2.694385,1265.79,236.23,167247.5,True
163,2.711017,1267.42,237.12,176525.5,True
164,2.727649,1267.41,236.77,175684.5,True
165,2.744281,1270.04,234.28,175488.0,True
166,2.760913,1206.27,228.38,150078.0,True
167,2.777545,1208.99,228.97,150163.5,True
168,2.794177,1275.91,231.57,169437.0,True
169,2.810809,1279.35,231.36,168765.0,True
170,2.827441,1280.33,231.67,178246.0,True
171,2.844073,1281.53,231.58,177768.0,True
172,2.860705,1289.03,232.66,179685.5,True
173,2.877337,1293.56,233.03,181443.5,True
174,2.893969,1294.15,231.30,172467.5,True
175,2.910601,1296.21,232.74,180790.0,True
176,2.927233,1302.81,232.97,182691.0,True
177,2.943865,1299.54,232.40,172392.5,True
178,2.960497,1296.53,230.99,171430.0,True
179,2.977129,1304.12,232.43,173619.0,True
180,2.993761,1295.11,233.84,182137.0,True
181,3.010393,1296.53,233.63,181721.0,True
182,3.027025,1297.29,234.19,182258.5,True
183,3.043657,1301.49,233.98,181880.0,True
184,3.060289,1301.56,234.13,181695.0,True
185,3.076921,1299.13,233.86,180952.0,True
186,3.093553,1299.71,234.34,180091.0,True
187,3.110185,1302.63,234.75,181360.5,True
188,3.126817,1306.34,235.38,182982.0,True
189,3.143449,1306.16,234.77,183939.0,True
190,3.160081,1304.69,234.78,183086.5,True
191,3.176713,1260.46,232.29,169194.0,True
192,3.193345,1308.98,235.59,184835.0,True
193,3.209977,1308.26,236.04,183968.5,True
194,3.226609,1306.22,235.82,183176.0,True
195,3.243241,1303.35,235.22,181660.5,True
196,3.259873,1304.05,235.22,181895.0,True
197,3.276505,1305.71,236.84,179953.5,True
198,3.293137,1303.05,234.73,180812.5,True
199,3.309769,1304.46,234.28,181620.0,True
200,3.326401,1305.45,234.12,182489.0,True
201,3.343034,1309.99,228.81,177184.5,True
202,3.359666,1308.77,227.09,177852.0,True
203,3.376298,1316.38,226.60,180121.5,True
204,3.392930,1316.52,224.89,180664.0,True
205,3.409562,1318.11,222.61,180133.0,True
206,3.426194,1317.90,221.39,181281.0,True
207,3.442826,1314.57,219.97,179381.5,True
208,3.459458,1317.31,219.90,177961.0,True
209,3.476090,1315.58,216.33,176906.5,True
210,3.492722,1315.74,212.59,176250.5,True
211,3.509354,1314.47,207.39,175060.5,True
212,3.525986,1314.20,202.18,172781.5,True
213,3.542618,1292.36,207.47,133354.5,True
214,3.559250,1347.81,207.24,145037.0,True
215,3.575882,1360.98,200.14,142615.0,True
216,3.592514,1377.37,192.91,139710.5,True
217,3.609146,1392.49,184.51,137841.5,True
218,3.625778,1407.83,174.75,134819.5,True
219,3.642410,1421.39,163.52,130294.0,True
220,3.659042,1441.62,152.59,125689.5,True
221,3.675674,1458.81,139.28,119723.0,True
222,3.692306,1483.50,126.07,113796.0,True
223,3.708938,1518.46,115.96,105416.5,True
224,3.725570,1548.17,99.59,106478.5,True
225,3.742202,1583.27,92.81,93165.0,True
226,3.758834,1603.02,77.15,73620.5,True
227,3.775466,1637.08,64.05,63508.0,True
228,3.792098,1662.63,49.40,50903.0,True
229,3.808730,1696.05,36.87,33685.0,True
230,3.825362,1766.57,28.06,16598.5,True
231,3.841994,1865.81,23.98,5415.0,True
232,3.858626,1137.91,465.31,4444.5,True
233,3.875258,1137.80,465.47,4471.5,True
234,3.891890,1137.69,465.49,4460.5,True
235,3.908522,1137.66,465.54,4474.0,True
236,3.925154,1137.58,465.72,4472.5,True
237,3.941786,1137.44,465.82,4449.0,True
238,3.958418,1137.47,465.85,4452.0,True
239,3.975050,1137.61,465.92,4480.0,True
240,3.991682,1137.59,465.89,4460.5,True
241,4.008314,1137.62,465.90,4462.0,True
242,4.024946,1137.73,465.57,4438.0,True
243,4.041578,1137.85,465.45,4444.0,True
244,4.058210,1137.97,465.21,4452.0,True
245,4.074842,1137.97,465.24,4437.0,True
246,4.091474,1137.93,465.23,4433.5,True
247,4.108106,1138.03,465.26,4446.5,True
248,4.124738,1137.95,465.51,4464.5,True
249,4.141370,1137.91,465.65,4477.0,True
250,4.158002,1137.82,465.66,4465.0,True
251,4.174634,1137.82,465.67,4465.5,True
252,4.191266,1137.76,465.77,4485.5,True
253,4.207898,1137.80,465.83,4497.0,True
254,4.224530,1137.84,465.82,4502.5,True
255,4.241162,1137.84,465.83,4503.0,True
256,4.257794,1137.85,465.83,4504.0,True
257,4.274426,1137.85,465.81,4499.5,True
258,4.291058,1137.78,465.79,4481.0,True
259,4.307690,1137.75,465.73,4470.5,True
260,4.324322,1137.75,465.74,4470.5,True
261,4.340954,1137.96,465.55,4493.0,True
262,4.357586,1137.89,465.54,4482.5,True
263,4.374218,1137.88,465.50,4475.5,True
264,4.390850,1137.90,465.48,4471.5,True
265,4.407482,1137.76,465.62,4452.0,True
266,4.424114,1137.66,465.77,4445.5,True
267,4.440746,1137.59,465.88,4465.5,True
268,4.457378,1137.54,466.04,4476.0,True
269,4.474010,1137.58,466.19,4505.0,True
270,4.490642,1137.85,466.23,4487.0,True
271,4.507274,1137.96,465.87,4470.0,True
272,4.523906,1138.42,464.98,4482.5,True
273,4.540538,1138.00,464.91,4483.5,True
274,4.557170,1137.89,465.55,4486.0,True
275,4.573802,1137.74,466.07,4498.5,True
276,4.590434,1137.75,466.07,4504.5,True
277,4.607066,1137.99,465.33,4562.0,True
278,4.623698,1137.98,465.40,4533.0,True
279,4.640330,1137.69,465.94,4498.0,True
280,4.656962,1137.66,466.06,4494.0,True
281,4.673594,1137.69,466.06,4487.5,True
282,4.690226,1137.78,466.02,4481.0,True
283,4.706858,1138.18,465.51,4510.0,True
284,4.723490,1138.16,465.09,4537.0,True
285,4.740122,1138.09,465.07,4543.0,True
286,4.756754,1137.90,465.54,4510.0,True
287,4.773386,1137.84,465.74,4510.0,True
288,4.790018,1137.87,465.62,4515.5,True
289,4.806650,1137.93,465.17,4541.0,True
290,4.823282,1137.78,464.95,4479.5,True
291,4.839914,1137.76,465.60,4479.0,True
292,4.856546,1137.59,465.91,4474.5,True
293,4.873178,1137.66,465.94,4480.5,True
294,4.889810,1137.86,465.82,4454.5,True
295,4.906442,1137.86,465.79,4456.0,True
296,4.923074,1137.77,465.86,4450.0,True
297,4.939706,1137.94,465.59,4513.5,True
298,4.956338,1137.83,465.65,4501.0,True
299,4.972970,1137.81,465.67,4500.5,True
300,4.989602,1137.54,465.64,4421.5,True
301,5.006234,1137.57,465.64,4435.0,True
302,5.022866,1137.60,465.44,4442.5,True
303,5.039498,1137.69,465.25,4410.0,True
304,5.056130,1137.73,465.62,4421.0,True
305,5.072762,1137.71,465.52,4417.0,True
306,5.089394,1137.72,465.51,4415.5,True
307,5.106026,1137.68,465.59,4412.0,True
308,5.122658,1137.56,465.62,4398.0,True
309,5.139290,1137.54,465.67,4397.5,True
310,5.155922,1137.57,465.68,4418.0,True
311,5.172554,1137.65,465.68,4435.5,True
312,5.189186,1137.62,465.63,4412.5,True
313,5.205818,1137.65,465.64,4414.5,True
314,5.222450,1137.84,465.49,4441.0,True
315,5.239082,1137.81,465.48,4438.0,True
316,5.255714,1137.82,465.49,4420.5,True
317,5.272346,1137.69,465.60,4411.0,True
318,5.288978,1137.72,465.54,4416.5,True
319,5.305610,1137.61,465.65,4430.0,True
320,5.322242,1137.61,465.65,4431.0,True
321,5.338874,1137.63,465.66,4415.5,True
