frame,time_s,x_px,y_px,area_px,detected
0,0.000000,1080.75,463.68,4394.5,True
1,0.016632,1080.69,463.67,4392.5,True
2,0.033264,1080.47,463.51,4365.5,True
3,0.049896,1080.67,463.65,4390.5,True
4,0.066528,1080.76,463.59,4401.5,True
5,0.083160,1080.76,463.70,4391.5,True
6,0.099792,1080.79,463.73,4403.0,True
7,0.116424,1080.87,463.73,4409.0,True
8,0.133056,1080.72,463.57,4375.0,True
9,0.149688,1080.78,463.69,4390.0,True
10,0.166320,1080.51,463.97,4433.0,True
11,0.182952,1080.45,463.93,4425.0,True
12,0.199584,1080.69,463.82,4424.5,True
13,0.216216,1080.47,464.09,4464.0,True
14,0.232848,1080.40,464.13,4470.0,True
15,0.249480,1080.34,464.20,4484.5,True
16,0.266112,1080.51,464.19,4482.0,True
17,0.282744,1080.28,464.31,4504.0,True
18,0.299376,1080.63,463.98,4444.0,True
19,0.316008,1080.59,464.13,4472.5,True
20,0.332640,1080.62,464.09,4464.0,True
21,0.349272,1080.54,464.09,4463.5,True
22,0.365905,1080.47,464.27,4497.0,True
23,0.382537,1080.63,464.18,4482.0,True
24,0.399169,1080.63,464.12,4470.0,True
25,0.415801,1080.57,464.07,4461.0,True
26,0.432433,1080.59,464.13,4473.0,True
27,0.449065,1080.63,463.98,4444.0,True
28,0.465697,1080.54,463.93,4435.0,True
29,0.482329,1080.50,463.96,4441.0,True
30,0.498961,1080.38,463.96,4439.5,True
31,0.515593,1080.35,463.98,4442.5,True
32,0.532225,1080.36,463.89,4427.5,True
33,0.548857,1080.40,463.87,4424.5,True
34,0.565489,1080.44,464.01,4437.0,True
35,0.582121,1846.78,18.55,5444.0,True
36,0.598753,1752.45,51.35,31214.0,True
37,0.615385,1683.68,96.73,51802.5,True
38,0.632017,1622.65,141.96,67687.0,True
39,0.648649,1595.25,171.49,100615.0,True
40,0.665281,1589.90,178.02,118237.0,True
41,0.681913,1551.66,194.13,122735.0,True
42,0.698545,1498.24,198.43,114338.0,True
43,0.715177,1463.56,198.47,111256.0,True
44,0.731809,1422.49,202.18,106140.0,True
45,0.748441,1406.82,220.33,110076.0,True
46,0.765073,1288.21,156.14,77197.5,True
47,0.781705,1360.19,222.98,103998.5,True
48,0.798337,1336.56,189.56,133826.0,True
49,0.814969,1255.56,147.98,111660.0,True
50,0.831601,1243.70,151.37,112308.0,True
51,0.848233,1250.10,174.10,119545.5,True
52,0.864865,1223.59,158.11,112354.0,True
53,0.881497,1213.57,160.54,107233.5,True
54,0.898129,1207.48,163.13,105556.0,True
55,0.914761,1214.98,178.24,108929.0,True
56,0.931393,1214.55,182.46,110141.5,True
57,0.948025,1196.62,168.41,101528.0,True
58,0.964657,1194.95,171.04,101948.5,True
59,0.981289,1192.60,174.29,102015.5,True
60,0.997921,1192.18,170.25,97733.0,True
61,1.014553,1194.78,180.74,102597.0,True
62,1.031185,1190.63,175.55,101832.0,True
63,1.047817,1191.46,171.76,98433.0,True
64,1.064449,1195.25,184.89,101891.5,True
65,1.081081,1190.90,181.26,98615.0,True
66,1.097714,1190.40,183.95,98092.0,True
67,1.114346,1189.07,189.31,96340.5,True
68,1.130978,1185.61,193.41,94087.0,True
69,1.147610,1180.11,196.39,89586.0,True
70,1.164242,1180.08,198.33,92935.0,True
71,1.180874,1178.82,202.38,91585.0,True
72,1.197506,1175.85,204.79,91545.5,True
73,1.214138,1174.46,204.95,91247.5,True
74,1.230770,1176.68,200.75,92816.5,True
75,1.247402,1171.70,202.05,90811.5,True
76,1.264034,1170.65,200.57,91412.5,True
77,1.280666,1170.56,194.45,92866.0,True
78,1.297298,1168.56,198.39,92084.0,True
79,1.313930,1169.82,196.88,92951.0,True
80,1.330562,1168.73,203.70,95848.5,True
81,1.347194,1168.03,195.69,93350.5,True
82,1.363826,1168.05,201.39,96125.5,True
83,1.380458,1166.54,195.08,92669.5,True
84,1.397090,1165.42,196.69,92593.5,True
85,1.413722,1162.85,199.50,90889.0,True
86,1.430354,1163.06,199.80,92143.5,True
87,1.446986,1163.60,206.60,94597.5,True
88,1.463618,1162.97,206.82,94148.0,True
89,1.480250,1162.61,205.71,94135.5,True
90,1.496882,1160.47,199.99,91034.0,True
91,1.513514,1158.90,207.00,92687.5,True
92,1.530146,1159.07,194.98,92365.0,True
93,1.546778,1157.29,194.81,93048.5,True
94,1.563410,1155.89,194.17,91778.5,True
95,1.580042,1156.11,193.75,92165.5,True
96,1.596674,1154.64,194.96,91913.0,True
97,1.613306,1154.48,193.70,93239.0,True
98,1.629938,1153.34,196.29,91482.5,True
99,1.646570,1149.82,201.00,89285.5,True
100,1.663202,1149.55,204.64,91301.5,True
101,1.679834,1149.68,206.68,92111.0,True
102,1.696466,1151.86,207.82,92892.0,True
103,1.713098,1153.22,208.59,93849.5,True
104,1.729730,1153.64,208.10,94050.0,True
105,1.746362,1157.01,210.51,94122.5,True
106,1.762994,1158.11,211.28,94369.5,True
107,1.779626,1162.44,207.48,95983.0,True
108,1.796258,1163.81,206.98,96377.5,True
109,1.812890,1163.78,213.91,102503.5,True
110,1.829523,1165.29,219.11,102309.5,True
111,1.846155,1169.90,215.91,104445.0,True
112,1.862787,1168.13,221.78,101615.0,True
113,1.879419,1174.65,216.32,105409.0,True
114,1.896051,1176.65,215.06,105700.5,True
115,1.912683,1180.44,215.51,105396.5,True
116,1.929315,1181.48,216.27,104116.0,True
117,1.945947,1184.63,216.23,104534.5,True
118,1.962579,1187.72,216.36,104519.0,True
119,1.979211,1189.65,216.57,104249.0,True
120,1.995843,1192.08,218.76,103384.0,True
121,2.012475,1194.04,218.94,104020.0,True
122,2.029107,1196.75,218.76,104298.5,True
123,2.045739,1199.66,218.82,104890.0,True
124,2.062371,1201.30,219.67,104244.5,True
125,2.079003,1201.49,217.81,104250.0,True
126,2.095635,1202.66,220.93,103622.0,True
127,2.112267,1205.04,220.07,103415.5,True
128,2.128899,1208.45,220.23,102807.5,True
129,2.145531,1209.20,219.51,103051.5,True
130,2.162163,1212.56,221.96,103888.5,True
131,2.178795,1214.03,221.41,104506.5,True
132,2.195427,1213.97,221.98,103558.5,True
133,2.212059,1216.83,221.82,104162.5,True
134,2.228691,1217.42,221.44,103698.0,True
135,2.245323,1219.78,220.78,104379.0,True
136,2.261955,1221.01,221.28,104524.5,True
137,2.278587,1223.84,218.46,106650.0,True
138,2.295219,1226.77,218.20,108363.0,True
139,2.311851,1228.62,219.52,108125.0,True
140,2.328483,1228.47,220.43,107308.5,True
141,2.345115,1228.78,220.15,107816.5,True
142,2.361747,1228.16,219.82,107361.5,True
143,2.378379,1228.21,219.32,107974.0,True
144,2.395011,1227.59,220.51,107157.0,True
145,2.411643,1228.67,219.89,108319.0,True
146,2.428275,1227.69,221.15,107586.5,True
147,2.444907,1229.79,219.26,108828.5,True
148,2.461539,1227.17,221.75,106054.5,True
149,2.478171,1228.77,216.81,109796.0,True
150,2.494803,1229.10,215.98,109318.0,True
151,2.511435,1229.11,217.18,108250.5,True
152,2.528067,1228.92,217.34,107842.5,True
153,2.544699,1228.63,217.04,107249.5,True
154,2.561332,1228.75,216.10,108369.5,True
155,2.577964,1228.49,215.63,107686.5,True
156,2.594596,1229.05,216.31,108639.5,True
157,2.611228,1228.09,216.18,108394.5,True
158,2.627860,1227.10,216.22,107935.5,True
159,2.644492,1226.73,216.18,108045.5,True
160,2.661124,1227.93,214.73,109061.0,True
161,2.677756,1307.56,248.34,145917.0,True
162,2.694388,1233.69,196.57,104819.5,True
163,2.711020,1233.69,193.64,104124.5,True
164,2.727652,1236.37,187.81,103135.0,True
165,2.744284,1241.73,181.04,104709.0,True
166,2.760916,1242.10,173.41,102769.5,True
167,2.777548,1244.99,166.66,102706.5,True
168,2.794180,1248.09,168.44,104870.5,True
169,2.810812,1232.36,158.80,72024.0,True
170,2.827444,1373.03,195.47,108250.0,True
171,2.844076,1243.86,136.87,60903.5,True
172,2.860708,1435.78,180.56,122359.5,True
173,2.877340,1435.12,160.19,132644.0,True
174,2.893972,1473.59,143.87,134156.0,True
175,2.910604,1509.39,120.60,130893.5,True
176,2.927236,1645.82,136.21,65478.5,True
177,2.943868,1626.50,90.53,87714.0,True
178,2.960500,1690.16,70.89,65943.0,True
179,2.977132,1779.55,62.84,34342.5,True
180,2.993764,1830.79,47.63,17473.0,True
181,3.010396,1876.46,27.83,5200.5,True
182,3.027028,1136.84,463.62,4397.0,True
183,3.043660,1136.80,463.61,4392.0,True
184,3.060292,1136.82,463.60,4394.5,True
185,3.076924,1136.65,463.57,4375.0,True
186,3.093556,1137.22,463.65,4371.5,True
187,3.110188,1137.38,463.66,4384.5,True
188,3.126820,1137.38,463.62,4375.5,True
189,3.143452,1137.29,463.66,4377.0,True
190,3.160084,1137.39,463.71,4400.5,True
191,3.176716,1136.91,463.67,4404.5,True
192,3.193348,1136.82,463.66,4396.0,True
193,3.209980,1136.86,463.68,4400.0,True
194,3.226612,1136.70,463.62,4384.5,True
195,3.243244,1136.68,463.63,4382.5,True
196,3.259876,1136.75,463.64,4386.5,True
197,3.276509,1136.72,463.65,4386.5,True
198,3.293141,1136.77,463.65,4389.5,True
199,3.309773,1136.80,463.68,4394.0,True
200,3.326405,1136.87,463.67,4398.0,True
201,3.343037,1136.97,463.66,4403.5,True
202,3.359669,1137.24,463.67,4351.5,True
203,3.376301,1137.38,463.68,4367.5,True
204,3.392933,1137.38,463.66,4367.0,True
205,3.409565,1137.33,463.66,4359.0,True
206,3.426197,1137.43,463.67,4371.5,True
207,3.442829,1137.45,463.69,4376.5,True
208,3.459461,1137.52,463.69,4382.5,True
209,3.476093,1137.28,463.72,4420.0,True
210,3.492725,1137.05,463.72,4408.5,True
211,3.509357,1137.05,463.73,4410.5,True
212,3.525989,1137.32,463.66,4366.0,True
213,3.542621,1137.51,463.67,4372.0,True
214,3.559253,1137.40,463.63,4360.0,True
215,3.575885,1137.64,463.66,4382.5,True
216,3.592517,1137.48,463.70,4361.0,True
217,3.609149,1137.45,463.73,4356.5,True
218,3.625781,1137.31,463.69,4345.0,True
219,3.642413,1137.30,463.72,4346.0,True
220,3.659045,1137.18,463.73,4331.5,True
221,3.675677,1137.11,463.67,4352.0,True
222,3.692309,1137.12,463.72,4342.0,True
223,3.708941,1137.29,463.74,4341.0,True
224,3.725573,1137.09,463.60,4361.5,True
225,3.742205,1137.53,463.63,4378.5,True
226,3.758837,1137.57,463.65,4383.0,True
227,3.775469,1137.54,463.61,4380.0,True
228,3.792101,1137.65,463.69,4380.0,True
229,3.808733,1137.63,463.70,4369.5,True
230,3.825365,1137.57,463.68,4364.5,True
231,3.841997,1137.47,463.64,4376.5,True
232,3.858629,1137.13,463.60,4396.5,True
233,3.875261,1136.98,463.65,4370.0,True
234,3.891893,1136.91,463.61,4367.5,True
235,3.908525,1136.84,463.65,4369.0,True
236,3.925157,1136.87,463.66,4374.5,True
237,3.941789,1136.76,463.58,4363.0,True
238,3.958421,1136.90,463.63,4384.5,True
239,3.975053,1136.95,463.60,4371.0,True
240,3.991685,1136.88,463.58,4368.0,True
241,4.008318,1136.99,463.61,4357.0,True
242,4.024950,1137.03,463.63,4358.5,True
243,4.041582,1137.10,463.60,4352.5,True
244,4.058214,1136.97,463.55,4365.0,True
245,4.074846,1136.90,463.60,4368.0,True
246,4.091478,1136.99,463.62,4368.0,True
247,4.108110,1136.89,463.64,4359.5,True
248,4.124742,1136.90,463.66,4354.5,True
249,4.141374,1136.82,463.67,4345.5,True
250,4.158006,1136.89,463.69,4331.5,True
251,4.174638,1137.04,463.65,4345.5,True
252,4.191270,1137.12,463.68,4337.5,True
253,4.207902,1137.31,463.76,4347.0,True
254,4.224534,1137.29,463.66,4348.0,True
255,4.241166,1137.31,463.65,4360.5,True
256,4.257798,1137.32,463.66,4362.5,True
257,4.274430,1137.18,463.63,4373.0,True
258,4.291062,1137.17,463.65,4378.5,True
259,4.307694,1137.13,463.62,4374.0,True
260,4.324326,1137.16,463.64,4362.5,True
261,4.340958,1137.13,463.60,4353.0,True
262,4.357590,1137.27,463.68,4348.0,True
263,4.374222,1137.22,463.71,4338.5,True
264,4.390854,1137.28,463.76,4332.5,True
265,4.407486,1137.34,463.76,4333.0,True
266,4.424118,1137.35,463.74,4328.5,True
267,4.440750,1137.08,463.62,4353.0,True
268,4.457382,1137.28,463.63,4366.5,True
269,4.474014,1137.23,463.61,4374.5,True
270,4.490646,1137.19,463.61,4371.5,True
271,4.507278,1137.18,463.60,4369.5,True
272,4.523910,1137.18,463.63,4378.0,True
273,4.540542,1137.15,463.65,4385.0,True
274,4.557174,1137.11,463.64,4388.0,True
275,4.573806,1137.03,463.64,4390.0,True
276,4.590438,1136.98,463.61,4385.0,True
277,4.607070,1136.97,463.59,4377.0,True
278,4.623702,1136.95,463.59,4383.0,True
279,4.640334,1136.94,463.58,4381.5,True
280,4.656966,1136.87,463.55,4375.0,True
281,4.673598,1136.89,463.54,4370.5,True
282,4.690230,1136.93,463.54,4374.0,True
283,4.706862,1136.84,463.55,4355.0,True
284,4.723494,1136.84,463.52,4355.0,True
285,4.740127,1137.10,463.57,4368.5,True
286,4.756759,1137.15,463.60,4359.5,True
287,4.773391,1137.04,463.57,4359.0,True
288,4.790023,1137.13,463.62,4378.0,True
289,4.806655,1137.19,463.62,4380.0,True
290,4.823287,1137.18,463.63,4375.5,True
291,4.839919,1137.17,463.60,4371.5,True
292,4.856551,1137.07,463.55,4362.0,True
293,4.873183,1137.04,463.54,4372.0,True
294,4.889815,1136.97,463.63,4375.5,True
295,4.906447,1136.76,463.56,4375.0,True
296,4.923079,1136.77,463.58,4376.0,True
297,4.939711,1137.05,463.61,4402.5,True
298,4.956343,1136.98,463.57,4396.0,True
299,4.972975,1136.99,463.58,4393.0,True
300,4.989607,1137.36,463.66,4352.5,True
301,5.006239,1137.36,463.67,4351.5,True
302,5.022871,1137.32,463.69,4344.5,True
303,5.039503,1137.32,463.71,4337.0,True
304,5.056135,1137.39,463.73,4345.0,True
305,5.072767,1137.02,463.72,4332.0,True
306,5.089399,1136.91,463.67,4324.5,True
307,5.106031,1136.91,463.72,4329.0,True
308,5.122663,1136.86,463.65,4351.5,True
309,5.139295,1136.97,463.67,4363.5,True
310,5.155927,1137.05,463.69,4355.0,True
311,5.172559,1136.92,463.63,4342.0,True
312,5.189191,1137.06,463.65,4340.5,True
313,5.205823,1137.08,463.64,4340.5,True
314,5.222455,1137.16,463.68,4348.5,True
315,5.239087,1137.08,463.64,4336.5,True
316,5.255719,1136.82,463.61,4361.5,True
317,5.272351,1136.90,463.65,4353.5,True
318,5.288983,1136.79,463.64,4353.5,True
319,5.305615,1136.93,463.70,4325.5,True
320,5.322247,1137.02,463.72,4342.0,True
321,5.338879,1137.06,463.66,4353.5,True
322,5.355511,1137.04,463.65,4357.5,True
323,5.372143,1136.92,463.67,4356.5,True
324,5.388775,1136.98,463.69,4356.0,True
325,5.405407,1137.03,463.69,4338.0,True
326,5.422039,1137.10,463.67,4332.0,True
327,5.438671,1137.21,463.71,4334.5,True
328,5.455303,1137.24,463.70,4341.5,True
329,5.471936,1137.20,463.65,4330.5,True
330,5.488568,1853.69,28.13,7625.5,True
331,5.505200,1769.89,53.01,35142.0,True
332,5.521832,1720.69,94.48,64434.0,True
333,5.538464,1682.58,143.90,84773.0,True
334,5.555096,1652.03,186.08,102820.0,True
335,5.571728,1657.36,209.00,135034.5,True
336,5.588360,1649.76,196.32,219086.0,True
337,5.604992,1629.33,211.90,244870.5,True
338,5.621624,1600.74,226.88,258031.5,True
339,5.638256,1576.62,237.87,266577.0,True
340,5.654888,1556.70,244.85,274277.5,True
341,5.671520,1535.86,250.66,277389.5,True
342,5.688152,1520.31,254.72,278988.0,True
343,5.704784,1508.66,253.91,281010.0,True
344,5.721416,1499.24,253.75,281654.0,True
345,5.738048,1488.48,251.38,280686.5,True
346,5.754680,1480.60,249.31,281361.5,True
347,5.771312,1472.15,246.86,279298.0,True
348,5.787944,1464.08,245.20,276565.0,True
349,5.804576,1459.67,242.32,276728.0,True
350,5.821208,1451.05,243.54,270225.0,True
351,5.837840,1450.65,241.02,275951.5,True
352,5.854472,1444.08,243.31,270867.5,True
353,5.871104,1439.03,243.95,269985.5,True
354,5.887736,1432.55,244.94,266483.5,True
355,5.904368,1428.86,244.59,266034.5,True
356,5.921000,1421.95,245.43,262559.0,True
357,5.937632,1418.20,246.68,261002.0,True
358,5.954264,1415.00,248.80,258746.5,True
359,5.970896,1413.66,251.28,257304.0,True
360,5.987528,1409.36,252.01,256787.0,True
361,6.004160,1409.33,252.54,257683.0,True
362,6.020792,1407.12,251.86,258236.0,True
363,6.037424,1406.91,251.35,257837.5,True
364,6.054056,1405.43,251.22,255406.5,True
365,6.070688,1403.78,251.71,253135.5,True
366,6.087320,1399.02,252.66,250523.5,True
367,6.103952,1394.96,254.02,248414.5,True
368,6.120584,1387.63,257.95,240176.0,True
369,6.137216,1381.79,259.01,239963.0,True
370,6.153848,1368.22,262.13,226630.0,True
371,6.170480,1367.30,262.49,226488.5,True
372,6.187113,1366.09,262.17,226050.5,True
373,6.203745,1369.46,262.85,227491.0,True
374,6.220377,1368.86,263.64,225775.0,True
375,6.237009,1361.78,261.63,220047.5,True
376,6.253641,1354.72,261.29,214824.5,True
377,6.270273,1351.80,259.16,213115.0,True
378,6.286905,1367.06,259.16,226421.5,True
379,6.303537,1352.90,258.27,213872.0,True
380,6.320169,1344.50,256.18,208778.0,True
381,6.336801,1342.98,257.36,206343.5,True
382,6.353433,1343.94,256.77,206711.5,True
383,6.370065,1345.35,256.74,207172.5,True
384,6.386697,1349.37,256.08,202932.5,True
385,6.403329,1348.90,257.73,205993.0,True
386,6.419961,1341.50,255.38,201348.0,True
387,6.436593,1338.31,254.09,199165.0,True
388,6.453225,1343.96,252.07,196364.0,True
389,6.469857,1340.80,258.79,198249.5,True
390,6.486489,1336.96,256.00,192586.0,True
391,6.503121,1340.91,256.01,195107.5,True
392,6.519753,1344.77,255.25,196153.5,True
393,6.536385,1343.86,254.60,194911.5,True
394,6.553017,1344.12,253.97,193516.5,True
