frame,time_s,x_px,y_px,area_px,detected
144,2.395012,855.94,219.71,5356.5,True
145,2.411644,855.92,219.92,5328.5,True
146,2.428277,855.98,219.98,5327.0,True
147,2.444909,856.09,219.86,5358.5,True
148,2.461541,856.00,219.84,5366.0,True
149,2.478173,855.99,219.63,5375.0,True
150,2.494805,856.11,219.55,5378.0,True
151,2.511437,856.10,219.24,5400.5,True
152,2.528069,855.94,219.25,5384.5,True
153,2.544701,855.88,219.32,5353.0,True
154,2.561333,855.89,219.33,5359.0,True
155,2.577965,855.84,219.34,5376.0,True
156,2.594597,855.94,219.48,5346.5,True
157,2.611229,856.14,219.70,5339.0,True
158,2.627861,856.14,219.91,5326.0,True
159,2.644493,856.16,220.03,5343.0,True
160,2.661125,856.13,219.81,5376.0,True
161,2.677757,856.09,219.89,5376.5,True
162,2.694389,855.92,219.71,5366.5,True
163,2.711021,855.95,219.40,5396.0,True
164,2.727653,855.92,219.14,5398.0,True
165,2.744285,856.06,218.91,5421.5,True
166,2.760917,856.22,218.94,5408.0,True
167,2.777549,856.30,218.94,5410.5,True
168,2.794181,856.05,219.27,5358.0,True
169,2.810813,856.01,219.42,5357.5,True
170,2.827445,856.03,219.65,5345.0,True
171,2.844077,855.95,219.79,5329.0,True
172,2.860709,855.84,219.80,5337.5,True
173,2.877341,855.76,219.71,5321.5,True
174,2.893973,855.75,219.83,5344.5,True
175,2.910605,855.67,219.72,5346.5,True
176,2.927237,855.60,219.62,5334.0,True
177,2.943869,855.92,219.49,5368.5,True
178,2.960502,855.99,219.25,5394.0,True
179,2.977134,856.10,219.21,5372.5,True
180,2.993766,855.99,219.41,5357.5,True
181,3.010398,855.92,219.42,5367.5,True
182,3.027030,855.89,219.41,5369.0,True
183,3.043662,855.96,219.59,5341.5,True
184,3.060294,855.80,219.63,5327.0,True
185,3.076926,855.59,219.69,5336.5,True
186,3.093558,855.65,219.69,5359.5,True
187,3.110190,855.94,219.69,5395.0,True
188,3.126822,856.13,219.77,5395.5,True
189,3.143454,856.15,219.61,5377.5,True
190,3.160086,856.30,219.45,5373.5,True
191,3.176718,856.21,219.43,5378.5,True
192,3.193350,855.98,219.19,5417.5,True
193,3.209982,855.93,219.02,5407.0,True
194,3.226614,855.64,219.05,5380.5,True
195,3.243246,855.62,219.34,5355.0,True
196,3.259878,855.65,219.53,5348.0,True
197,3.276510,855.86,219.78,5355.0,True
198,3.293142,855.98,219.83,5367.0,True
199,3.309774,855.92,219.76,5361.0,True
200,3.326406,855.96,219.87,5360.5,True
201,3.343038,855.86,219.81,5359.5,True
202,3.359670,855.85,219.67,5350.5,True
203,3.376302,855.64,219.56,5364.5,True
204,3.392934,855.82,219.25,5375.0,True
205,3.409566,855.66,219.15,5376.0,True
206,3.426198,855.86,219.23,5423.0,True
207,3.442830,855.89,219.39,5413.0,True
208,3.459462,855.88,219.60,5391.0,True
209,3.476094,855.88,219.55,5405.5,True
210,3.492727,855.92,219.67,5384.0,True
211,3.509359,855.94,219.66,5372.0,True
212,3.525991,855.95,219.50,5384.0,True
213,3.542623,855.63,219.47,5372.5,True
214,3.559255,855.61,219.74,5333.0,True
215,3.575887,855.77,219.78,5364.5,True
216,3.592519,855.78,219.78,5382.0,True
