frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
105,1.746363,855.082,-0.120,-0.0197,5345.5,True,True
106,1.762995,855.022,-0.181,-0.0297,5356.0,True,True
107,1.779627,854.822,-0.381,-0.0625,5372.0,True,True
108,1.796259,854.822,-0.380,-0.0625,5369.5,True,True
109,1.812891,854.973,-0.229,-0.0376,5376.0,True,True
110,1.829523,854.764,-0.438,-0.0720,5403.0,True,True
111,1.846155,855.064,-0.138,-0.0227,5416.5,True,True
112,1.862787,855.045,-0.158,-0.0259,5399.5,True,True
113,1.879419,855.315,0.112,0.0185,5382.5,True,True
114,1.896052,855.125,-0.078,-0.0128,5371.0,True,True
115,1.912684,855.065,-0.138,-0.0227,5374.5,True,True
116,1.929316,855.025,-0.177,-0.0291,5431.0,True,True
117,1.945948,854.914,-0.289,-0.0474,5388.5,True,True
118,1.962580,854.773,-0.430,-0.0706,5372.5,True,True
119,1.979212,854.922,-0.281,-0.0462,5359.5,True,True
120,1.995844,855.272,0.069,0.0114,5342.0,True,True
121,2.012476,855.352,0.149,0.0245,5327.0,True,True
122,2.029108,855.152,-0.050,-0.0082,5357.5,True,True
123,2.045740,855.224,0.022,0.0036,5367.0,True,True
124,2.062372,855.155,-0.047,-0.0077,5398.0,True,True
125,2.079004,855.095,-0.107,-0.0176,5370.0,True,True
126,2.095636,854.975,-0.227,-0.0374,5374.5,True,True
127,2.112268,855.066,-0.137,-0.0225,5393.5,True,True
128,2.128900,855.125,-0.077,-0.0127,5349.5,True,True
129,2.145532,855.094,-0.108,-0.0178,5347.0,True,True
130,2.162164,855.294,0.091,0.0150,5338.0,True,True
131,2.178796,855.254,0.051,0.0084,5371.0,True,True
132,2.195428,855.313,0.110,0.0181,5360.0,True,True
133,2.212060,855.113,-0.089,-0.0147,5354.5,True,True
134,2.228692,855.033,-0.169,-0.0278,5308.0,True,True
135,2.245324,854.924,-0.279,-0.0458,5338.0,True,True
136,2.261956,855.084,-0.119,-0.0195,5346.5,True,True
137,2.278588,855.084,-0.118,-0.0194,5345.5,True,True
138,2.295220,855.145,-0.058,-0.0095,5370.0,True,True
139,2.311852,855.196,-0.007,-0.0011,5395.5,True,True
140,2.328484,855.496,0.293,0.0482,5362.5,True,True
141,2.345116,855.216,0.013,0.0022,5385.5,True,True
142,2.361748,855.105,-0.097,-0.0160,5382.5,True,True
143,2.378380,854.904,-0.298,-0.0490,5360.0,True,True
144,2.395012,855.074,-0.129,-0.0212,5356.5,True,True
145,2.411644,855.053,-0.150,-0.0246,5328.5,True,True
146,2.428277,855.113,-0.090,-0.0148,5327.0,True,True
